포지션,회사명,경력,합격보상,링크
Senior Go Backend Developer,DATATRONiQ,"
			🚀 DATATRONiQ is a deep-tech 💪 startup for the Industrial IoT in Germany. Our platform offers a one-stop solution for manufacturing companies to monitor and optimize their machines and processes. Our device management and data acquisition technology generates high-quality data for our AI models deployed on the edge. We value collaboration, honest feedback, and continuous...		",https://berlinstartupjobs.com/engineering/senior-backend-developer-golang-m-f-d-datatroniq/
Senior Fullstack Developer (Typescript / Javascript / Node.js),DATATRONiQ,"
			🚀 DATATRONiQ is a deep-tech 💪 startup for the Industrial IoT in Germany. Our platform offers a one-stop solution for manufacturing companies to monitor and optimize their machines and processes. Our device management and data acquisition technology generates high-quality data for our AI models deployed on the edge. We value collaboration, honest feedback, and continuous...		",https://berlinstartupjobs.com/engineering/senior-fullstack-developer-typescript-javascript-node-js-datatroniq/
E-Commerce Tech Specialist (m/w/d),VINOS,"
			VINOS steht für die Welt der spanischen Weine. Wein ist für uns mehr als ein Produkt – Wein ist für uns Leidenschaft und das seit über 25 Jahren. Im Bereich E-Commerce und in unseren Filialen in Berlin, Hamburg, München und Köln haben wir uns mit unserer Expertise, unserem exzellenten Service und der Leidenschaft für Wein...		",https://berlinstartupjobs.com/engineering/e-commerce-tech-specialist-m-w-d-wein-vinos-gmbh/
 Member of Enterprise Technology IT Systems , Anchorage Digital ,,https://web3.career/member-of-enterprise-technology-it-systems-anchorage/147916
 Member of Enterprise Technology IT Support , Anchorage Digital ,,https://web3.career/member-of-enterprise-technology-it-support-anchorage/147915
 Software Engineer Web L1 , CoinGecko ,,https://web3.career/software-engineer-web-l1-coingecko/147914
 Sr. Staff Technical Program Manager Hosted Infrastructure Operations , Zscaler ,Remote,https://web3.career/sr-staff-technical-program-manager-hosted-infrastructure-operations-zscaler/146551
 Sr. Staff Software Development Engineer , Zscaler ,Remote,https://web3.career/sr-staff-software-development-engineer-zscaler/101646
 Senior React Native Developer Mobile , P2P. org , Cyprus Cyprus Cyprus,https://web3.career/senior-react-native-developer-mobile-p2p-org/147855
 Lead Solutions Engineer , Inmobi ,Remote,https://web3.career/lead-solutions-engineer-inmobi/100482
 Senior Software Engineer , Groma ,",",https://web3.career/senior-software-engineer-groma/59987
 Senior Site Reliability Engineer Node Platm , Chainlink Labs ,,https://web3.career/senior-site-reliability-engineer-node-platform-chainlinklabs/147834
 Growth Engineer Data Systems , Bitmex ,Remote,https://web3.career/growth-engineer-data-systems-bitmex/146102
 FrontEnd Engineer React , Blockchain ,Remote,https://web3.career/front-end-engineer-react-blockchain/141795
 Sr. Ad Sales Director Search , Brave ,",",https://web3.career/sr-ad-sales-director-search-brave/99364
 Quality Assurance Engineer , Brave ,",",https://web3.career/quality-assurance-engineer-brave/46151
 Senior Software Engineer Mobile React Native , Bitgo ,",",https://web3.career/senior-software-engineer-mobile-react-native-bitgo/100067
 Product Designer , Bitgo ,Remote,https://web3.career/product-designer-bitgo/107613
"Full Stack Developer (PHP, Laravel, WordPress & JavaScript)", Bold & Epic Craft Llc , Georgia (remote) ,https://weworkremotely.com//company/bold-epic-craft-llc
